risk_profile_id,account_id,risk_level,risk_score,chargeback_rate,refund_rate,risk_surcharge_rate,assessed_at
35,35,low,0.1,0.003687,0.021244,0.0,2022-03-29 07:14:53
36,36,high,0.2801,0.017303,0.055511,0.004,2025-03-20 03:25:11
37,37,medium,0.1698,0.008324,0.018197,0.0015,2025-02-06 04:47:11
38,38,medium,0.2285,0.008664,0.032697,0.0015,2023-01-14 14:34:27
39,39,medium,0.1597,0.011016,0.018924,0.0015,2024-05-14 02:48:19
40,40,high,0.2578,0.014432,0.053995,0.004,2022-08-15 00:48:04
41,41,medium,0.1351,0.009672,0.017499,0.0015,2024-11-03 01:32:12
42,42,medium,0.166,0.005839,0.031871,0.0015,2024-08-16 07:34:12
43,43,low,0.0798,0.004662,0.013872,0.0,2023-04-30 23:47:47
44,44,medium,0.1843,0.009912,0.035386,0.0015,2022-04-03 21:56:58
45,45,high,0.282,0.020447,0.050856,0.004,2025-08-20 21:57:27
46,46,medium,0.1489,0.006265,0.020031,0.0015,2023-09-02 16:48:41
47,47,medium,0.1458,0.008285,0.023294,0.0015,2025-05-06 18:57:09
48,48,low,0.1164,0.004875,0.014045,0.0,2024-07-16 09:26:13
49,49,high,0.3026,0.020991,0.03867,0.004,2024-11-30 19:53:13
50,50,high,0.3596,0.017406,0.041326,0.004,2024-11-05 13:01:06
51,51,low,0.0849,0.0045,0.017413,0.0,2022-09-24 06:22:40
52,52,medium,0.1469,0.009183,0.019728,0.0015,2023-05-13 19:45:46
53,53,low,0.0562,0.002577,0.00651,0.0,2023-10-01 11:23:02
54,54,medium,0.2035,0.008106,0.026237,0.0015,2023-11-12 23:29:30
55,55,medium,0.1455,0.007688,0.019139,0.0015,2022-03-01 22:09:54
56,56,medium,0.1671,0.00831,0.01922,0.0015,2024-01-18 16:58:11
57,57,low,0.0979,0.004814,0.017981,0.0,2022-07-31 01:37:57
58,58,medium,0.232,0.008193,0.041761,0.0015,2024-10-13 22:31:04
59,59,high,0.2598,0.017189,0.044344,0.004,2024-07-23 09:51:47
60,60,low,0.0459,0.002965,0.009378,0.0,2025-06-16 00:26:02
61,61,medium,0.1489,0.009403,0.015851,0.0015,2024-10-15 20:01:51
62,62,medium,0.2089,0.01075,0.036115,0.0015,2023-05-17 13:36:42
63,63,low,0.0989,0.005422,0.016869,0.0,2025-08-16 13:16:46
64,64,medium,0.1516,0.009333,0.028209,0.0015,2023-07-17 01:02:19
65,65,medium,0.2213,0.016206,0.030782,0.0015,2023-03-22 17:29:53
66,66,medium,0.1521,0.007044,0.022991,0.0015,2025-05-23 18:33:00
67,67,low,0.1058,0.006865,0.014878,0.0,2023-05-22 18:55:59
68,68,low,0.12,0.007154,0.017627,0.0,2022-04-15 10:29:58
69,69,low,0.0268,0.00162,0.004742,0.0,2023-10-05 08:27:23
70,70,medium,0.1745,0.006763,0.022865,0.0015,2024-12-24 11:45:53
71,71,medium,0.1965,0.012879,0.04011,0.0015,2022-09-17 04:43:25
72,72,medium,0.131,0.006739,0.028731,0.0015,2023-09-26 07:15:53
73,73,low,0.1032,0.004972,0.015595,0.0,2022-06-27 17:34:58
74,74,low,0.0959,0.005016,0.020993,0.0,2024-07-28 02:27:09
75,75,medium,0.2048,0.014309,0.032324,0.0015,2023-10-13 18:20:38
76,76,low,0.0816,0.004991,0.008359,0.0,2023-03-28 17:00:21
77,77,medium,0.171,0.006049,0.035621,0.0015,2022-11-07 09:53:15
78,78,medium,0.175,0.007766,0.024563,0.0015,2024-02-12 05:39:37
79,79,medium,0.1342,0.008426,0.014393,0.0015,2024-07-05 07:19:59
80,80,low,0.0707,0.004954,0.008639,0.0,2025-07-10 08:07:47
81,81,medium,0.1609,0.009094,0.03007,0.0015,2023-08-22 00:34:18
82,82,low,0.1193,0.007003,0.01527,0.0,2022-08-08 19:42:49
83,83,low,0.01,0.000462,0.00188,0.0,2025-02-13 02:29:25
84,84,low,0.1176,0.004776,0.023502,0.0,2024-05-11 12:25:17
85,85,medium,0.2174,0.011413,0.045479,0.0015,2024-08-15 23:06:13
86,86,high,0.3536,0.019989,0.073814,0.004,2022-05-14 00:08:41
87,87,medium,0.1804,0.010386,0.021944,0.0015,2023-03-04 07:37:17
88,88,medium,0.1675,0.007137,0.027976,0.0015,2024-11-16 09:51:05
89,89,high,0.3368,0.012826,0.069378,0.004,2025-02-12 12:45:13
90,90,medium,0.1596,0.00773,0.020617,0.0015,2023-08-19 09:02:01
91,91,medium,0.1996,0.013396,0.04389,0.0015,2025-01-05 22:01:24
92,92,high,0.2989,0.013724,0.056305,0.004,2025-02-25 10:25:38
93,93,medium,0.1653,0.010303,0.035042,0.0015,2023-06-15 01:41:24
94,94,low,0.0577,0.00262,0.007926,0.0,2025-05-13 14:00:46
95,95,low,0.0923,0.004096,0.011468,0.0,2023-01-30 10:23:17
96,96,low,0.0717,0.003114,0.015336,0.0,2022-11-24 17:09:40
97,97,low,0.068,0.003545,0.009096,0.0,2024-07-22 15:41:32
98,98,low,0.0771,0.003527,0.016076,0.0,2024-05-21 02:09:51
99,99,medium,0.1868,0.009248,0.022499,0.0015,2022-07-11 04:21:12
100,100,medium,0.1674,0.009721,0.023942,0.0015,2025-02-13 04:24:46
101,101,medium,0.1847,0.012609,0.032399,0.0015,2022-10-01 11:23:09
102,102,medium,0.1524,0.010007,0.031926,0.0015,2025-01-06 02:26:51
103,103,high,0.2758,0.014477,0.042845,0.004,2022-01-11 01:43:04
104,104,medium,0.1395,0.006572,0.023987,0.0015,2024-12-26 01:56:08
105,105,low,0.0628,0.003849,0.008741,0.0,2024-12-12 12:18:04
106,106,low,0.1164,0.006092,0.014369,0.0,2024-12-03 12:55:16
107,107,low,0.0773,0.005046,0.014597,0.0,2024-06-28 12:22:59
108,108,medium,0.1311,0.009094,0.024669,0.0015,2023-10-08 02:29:32
109,109,medium,0.1751,0.008135,0.035661,0.0015,2024-08-22 15:59:22
110,110,low,0.1167,0.005883,0.013782,0.0,2023-01-15 02:27:25
111,111,medium,0.2007,0.007255,0.021476,0.0015,2024-12-04 00:53:43
112,112,low,0.0818,0.004266,0.01431,0.0,2024-01-31 03:00:03
113,113,medium,0.2355,0.012369,0.037358,0.0015,2023-09-20 19:07:21
114,114,medium,0.2085,0.014943,0.036507,0.0015,2023-11-23 16:03:51
115,115,low,0.1111,0.005692,0.014292,0.0,2024-02-18 00:54:39
116,116,medium,0.2229,0.011598,0.04438,0.0015,2022-02-20 23:23:46
117,117,medium,0.2081,0.01002,0.031913,0.0015,2022-07-11 05:48:54
118,118,low,0.1267,0.004959,0.022971,0.0,2022-12-02 19:38:15
119,119,low,0.13,0.007686,0.016037,0.0,2022-06-06 16:15:04
120,120,low,0.0729,0.003168,0.007725,0.0,2023-08-25 09:23:34
121,121,medium,0.2208,0.012326,0.03156,0.0015,2024-07-03 09:00:21
122,122,medium,0.1394,0.009164,0.021062,0.0015,2024-06-14 06:12:29
123,123,high,0.312,0.020076,0.04728,0.004,2023-10-07 11:01:50
124,124,high,0.2736,0.010772,0.035217,0.004,2025-03-15 17:59:12
125,125,medium,0.2219,0.0115,0.03463,0.0015,2024-02-13 05:49:54
126,126,medium,0.2207,0.014786,0.035469,0.0015,2022-04-19 08:12:32
127,127,medium,0.1452,0.005122,0.019509,0.0015,2024-11-12 12:26:32
128,128,low,0.1192,0.004876,0.01667,0.0,2024-02-26 01:17:15
129,129,low,0.1107,0.005725,0.018508,0.0,2024-05-18 07:04:18
130,130,medium,0.1536,0.008484,0.01618,0.0015,2024-02-13 10:20:13
131,131,medium,0.1744,0.009748,0.018306,0.0015,2024-01-28 07:07:07
132,132,medium,0.1644,0.011611,0.024966,0.0015,2022-05-04 21:28:36
133,133,low,0.01,0.00065,0.001075,0.0,2024-02-04 23:53:22
134,134,low,0.01,0.00073,0.001896,0.0,2024-12-23 10:34:15
135,135,medium,0.2314,0.017038,0.039438,0.0015,2023-02-20 19:17:22
136,136,medium,0.1373,0.005081,0.014158,0.0015,2024-04-04 16:23:06
137,137,medium,0.1899,0.00741,0.026503,0.0015,2022-02-12 03:48:40
138,138,medium,0.1852,0.012454,0.020478,0.0015,2023-04-21 09:05:37
139,139,medium,0.1513,0.010951,0.031578,0.0015,2023-08-21 10:18:19
140,140,low,0.0578,0.003602,0.007936,0.0,2022-10-21 13:14:38
141,141,medium,0.1964,0.006949,0.028654,0.0015,2023-01-14 07:38:05
142,142,low,0.0602,0.002336,0.011703,0.0,2023-07-13 20:48:44
143,143,high,0.2672,0.019678,0.033653,0.004,2025-09-19 23:11:51
144,144,low,0.0381,0.00147,0.004758,0.0,2025-03-13 10:55:46
145,145,high,0.3196,0.022702,0.062921,0.004,2022-02-17 11:02:21
146,146,medium,0.1784,0.008915,0.029258,0.0015,2022-11-17 00:42:04
147,147,high,0.2506,0.018097,0.032773,0.004,2025-01-29 01:12:55
148,148,medium,0.173,0.007422,0.02057,0.0015,2022-03-21 18:11:44
149,149,medium,0.1324,0.009786,0.025822,0.0015,2025-03-16 13:23:07
150,150,medium,0.1992,0.011124,0.024798,0.0015,2023-01-20 22:23:45
151,151,low,0.0894,0.005872,0.014203,0.0,2025-06-09 08:21:17
152,152,low,0.0925,0.004015,0.011357,0.0,2023-02-06 15:16:12
153,153,medium,0.1715,0.006917,0.024887,0.0015,2023-08-18 03:29:21
154,154,low,0.0822,0.003644,0.009049,0.0,2024-06-24 12:02:34
155,155,low,0.0908,0.00589,0.009187,0.0,2022-06-22 18:02:56
156,156,medium,0.1485,0.005203,0.025133,0.0015,2024-02-02 00:28:46
157,157,medium,0.1894,0.011855,0.031877,0.0015,2023-11-22 20:40:07
158,158,medium,0.174,0.006805,0.021368,0.0015,2024-12-08 08:56:45
159,159,medium,0.1839,0.011315,0.022751,0.0015,2025-09-24 16:10:55
160,160,low,0.1157,0.00545,0.022313,0.0,2024-06-27 18:44:31
161,161,medium,0.1568,0.011136,0.024079,0.0015,2023-07-14 18:24:33
162,162,low,0.0695,0.003308,0.011995,0.0,2023-07-10 22:29:36
163,163,low,0.0245,0.001747,0.003267,0.0,2023-07-26 18:25:17
164,164,medium,0.1455,0.0084,0.024792,0.0015,2025-01-18 13:55:02
165,165,medium,0.1704,0.007449,0.025588,0.0015,2023-03-16 10:09:17
166,166,medium,0.1373,0.009481,0.018252,0.0015,2022-08-17 10:03:17
167,167,medium,0.132,0.006207,0.021976,0.0015,2023-04-03 07:27:23
168,168,medium,0.1302,0.007738,0.014099,0.0015,2022-02-01 01:40:58
169,169,low,0.0965,0.005478,0.011116,0.0,2022-05-26 04:52:23
170,170,medium,0.2289,0.015208,0.035067,0.0015,2022-05-04 04:27:04
171,171,low,0.1159,0.00524,0.015866,0.0,2024-11-21 11:36:31
172,172,medium,0.213,0.008523,0.041923,0.0015,2024-09-15 04:30:07
173,173,low,0.1162,0.008312,0.014365,0.0,2024-08-11 04:22:43
174,174,low,0.0381,0.001809,0.004422,0.0,2023-09-24 20:21:11
175,175,medium,0.1361,0.008149,0.014698,0.0015,2024-09-07 22:27:54
176,176,low,0.0913,0.006374,0.018071,0.0,2022-08-09 14:52:30
177,177,low,0.01,0.000382,0.002032,0.0,2025-05-17 01:12:39
178,178,low,0.0177,0.000826,0.003682,0.0,2023-11-17 10:18:07
179,179,medium,0.1503,0.005763,0.031029,0.0015,2025-07-07 06:06:11
180,180,low,0.1095,0.00787,0.022437,0.0,2022-07-28 08:42:39
181,181,medium,0.1856,0.013478,0.040268,0.0015,2023-11-12 08:20:27
182,182,high,0.2878,0.020496,0.04254,0.004,2024-08-10 13:35:25
183,183,high,0.2889,0.014326,0.051705,0.004,2023-11-10 00:23:18
184,184,low,0.0925,0.005012,0.009715,0.0,2023-09-03 08:12:10
185,185,medium,0.1882,0.01347,0.038392,0.0015,2022-08-16 09:08:28
186,186,medium,0.24,0.016898,0.028183,0.0015,2023-06-06 05:41:20
187,187,low,0.0866,0.003072,0.015754,0.0,2022-11-23 15:10:26
188,188,low,0.0313,0.00132,0.004356,0.0,2023-02-17 11:14:41
189,189,medium,0.1429,0.007334,0.024366,0.0015,2024-07-24 07:15:36
190,190,medium,0.1576,0.010246,0.030753,0.0015,2024-05-12 05:26:17
191,191,low,0.0988,0.004972,0.015911,0.0,2024-04-10 15:28:23
192,192,medium,0.1362,0.005889,0.029149,0.0015,2023-05-10 23:01:53
193,193,medium,0.1447,0.009859,0.019838,0.0015,2025-08-05 20:37:36
194,194,low,0.0269,0.00131,0.004504,0.0,2022-04-30 21:43:19
195,195,medium,0.1641,0.00649,0.033315,0.0015,2023-04-14 15:56:25
196,196,medium,0.147,0.00887,0.024428,0.0015,2022-06-11 10:22:11
197,197,medium,0.1348,0.009377,0.022117,0.0015,2023-04-09 16:12:10
198,198,low,0.01,0.000581,0.001464,0.0,2025-08-08 21:01:26
199,199,medium,0.1973,0.014765,0.038135,0.0015,2025-05-27 22:31:16
200,200,medium,0.2325,0.016268,0.033275,0.0015,2023-11-09 05:59:44
201,201,medium,0.2476,0.011087,0.032124,0.0015,2024-08-15 04:47:04
202,202,medium,0.1707,0.008222,0.019704,0.0015,2023-09-18 17:55:51
203,203,low,0.1196,0.005124,0.018099,0.0,2022-12-30 17:02:33
204,204,low,0.0823,0.004719,0.01106,0.0,2024-11-11 11:10:53
205,205,medium,0.1364,0.008329,0.029829,0.0015,2025-08-18 19:59:55
206,206,medium,0.1892,0.012296,0.032795,0.0015,2022-12-27 12:02:53
207,207,low,0.1239,0.006963,0.027154,0.0,2024-12-01 07:56:58
208,208,medium,0.1569,0.006258,0.028773,0.0015,2022-12-24 05:44:54
209,209,low,0.0606,0.002728,0.012225,0.0,2024-09-07 16:56:19
210,210,low,0.0918,0.004933,0.010414,0.0,2024-12-15 08:39:48
211,211,medium,0.245,0.011214,0.044825,0.0015,2023-09-07 17:26:12
212,212,medium,0.2155,0.00798,0.024614,0.0015,2024-10-05 02:32:39
213,213,low,0.01,0.000706,0.001176,0.0,2023-01-08 10:14:05
214,214,medium,0.1759,0.009823,0.019219,0.0015,2022-04-19 10:03:04
215,215,medium,0.1306,0.007681,0.022835,0.0015,2022-05-12 20:42:29
216,216,high,0.2701,0.01056,0.048096,0.004,2023-09-04 12:40:57
217,217,low,0.01,0.000714,0.001348,0.0,2025-05-19 18:14:30
218,218,low,0.1271,0.008831,0.02636,0.0,2022-06-24 12:36:11
219,219,medium,0.1924,0.009742,0.040568,0.0015,2023-09-16 12:02:49
220,220,high,0.2529,0.010855,0.049709,0.004,2024-08-21 02:46:50
221,221,medium,0.2027,0.013537,0.035501,0.0015,2022-10-04 19:59:38
222,222,medium,0.1707,0.009892,0.029306,0.0015,2024-09-14 04:06:34
223,223,high,0.3279,0.02238,0.048247,0.004,2023-02-23 13:10:04
224,224,medium,0.2011,0.010916,0.031127,0.0015,2025-01-11 05:56:58
225,225,low,0.1092,0.007714,0.012768,0.0,2024-03-03 08:56:12
226,226,medium,0.137,0.00872,0.029415,0.0015,2024-01-19 04:03:34
227,227,low,0.023,0.001128,0.003922,0.0,2022-08-30 19:48:14
228,228,low,0.106,0.006908,0.015429,0.0,2023-09-26 15:58:35
229,229,low,0.0284,0.001361,0.003531,0.0,2025-03-17 20:21:36
230,230,medium,0.209,0.010904,0.031099,0.0015,2022-01-27 17:00:42
231,231,medium,0.1749,0.008916,0.02101,0.0015,2024-11-03 15:42:47
232,232,medium,0.1662,0.008596,0.03253,0.0015,2023-11-06 02:22:29
233,233,medium,0.1862,0.011924,0.034761,0.0015,2024-09-11 05:24:27
234,234,medium,0.1939,0.008694,0.036767,0.0015,2024-06-26 09:24:01
235,235,low,0.111,0.005322,0.020224,0.0,2023-08-15 02:28:43
236,236,medium,0.1731,0.009607,0.035889,0.0015,2023-02-27 06:09:41
237,237,high,0.297,0.013682,0.036192,0.004,2024-05-08 03:48:13
238,238,medium,0.2152,0.008677,0.035071,0.0015,2022-07-11 19:50:35
239,239,medium,0.1313,0.008291,0.022857,0.0015,2024-03-10 01:06:16
240,240,low,0.1089,0.006413,0.023716,0.0,2022-05-10 13:00:58
241,241,medium,0.1784,0.012999,0.025606,0.0015,2024-06-07 23:45:49
242,242,medium,0.1832,0.011852,0.0244,0.0015,2024-05-10 02:57:54
243,243,medium,0.2232,0.012918,0.0239,0.0015,2022-04-26 12:28:33
244,244,medium,0.1576,0.007197,0.034106,0.0015,2024-11-02 05:50:33
245,245,low,0.1213,0.005214,0.015821,0.0,2023-07-23 19:47:19
246,246,medium,0.1407,0.007868,0.015943,0.0015,2024-12-12 11:03:22
247,247,high,0.3967,0.021196,0.082363,0.004,2022-02-26 22:16:35
248,248,medium,0.1835,0.009397,0.038867,0.0015,2022-09-03 11:54:56
249,249,low,0.0904,0.00476,0.01491,0.0,2023-11-07 18:42:23
250,250,medium,0.1579,0.006868,0.020935,0.0015,2022-09-15 11:48:31
251,251,medium,0.2073,0.010745,0.033029,0.0015,2023-03-28 06:00:11
252,252,medium,0.1637,0.005985,0.01855,0.0015,2024-06-22 16:47:16
253,253,medium,0.1604,0.009208,0.018599,0.0015,2022-07-17 17:01:05
254,254,medium,0.2269,0.012995,0.035747,0.0015,2024-07-16 02:20:34
255,255,low,0.0716,0.004413,0.014402,0.0,2022-05-22 10:55:34
256,256,low,0.0189,0.001204,0.002223,0.0,2022-08-28 15:40:47
257,257,medium,0.2188,0.013559,0.038796,0.0015,2024-03-14 21:32:47
258,258,low,0.1114,0.007482,0.015596,0.0,2024-12-21 11:38:29
259,259,low,0.1259,0.005077,0.013436,0.0,2022-08-22 08:54:30
260,260,high,0.3294,0.023206,0.042903,0.004,2023-02-15 09:21:47
261,261,high,0.3531,0.017845,0.038242,0.004,2025-06-19 13:32:37
262,262,medium,0.1749,0.010784,0.02143,0.0015,2025-09-15 21:17:41
263,263,medium,0.1407,0.005603,0.019222,0.0015,2024-03-05 21:23:57
264,264,medium,0.165,0.007254,0.019932,0.0015,2023-09-04 13:09:23
265,265,low,0.1288,0.009302,0.01912,0.0,2023-04-20 12:25:45
266,266,medium,0.1929,0.007813,0.019362,0.0015,2024-04-17 20:01:17
267,267,medium,0.1672,0.008964,0.017303,0.0015,2024-03-19 08:56:14
268,268,medium,0.2431,0.009427,0.046636,0.0015,2023-02-08 05:19:53
269,269,medium,0.2255,0.008733,0.043567,0.0015,2022-02-01 04:41:48
270,270,low,0.1227,0.009173,0.017916,0.0,2022-07-27 05:59:32
271,271,high,0.2636,0.015959,0.05745,0.004,2025-08-04 07:24:57
272,272,low,0.0782,0.004728,0.010387,0.0,2023-07-27 00:51:43
273,273,low,0.0894,0.004098,0.016961,0.0,2023-10-22 18:59:11
274,274,high,0.2613,0.010735,0.040021,0.004,2023-10-02 00:04:30
275,275,medium,0.1519,0.009049,0.021429,0.0015,2024-12-06 18:45:46
276,276,medium,0.2326,0.010461,0.03131,0.0015,2022-03-30 20:39:14
277,277,medium,0.1397,0.006405,0.017826,0.0015,2022-04-24 04:11:28
278,278,low,0.1034,0.005359,0.018567,0.0,2023-01-13 08:37:00
279,279,medium,0.167,0.007347,0.017292,0.0015,2023-10-28 17:57:58
280,280,medium,0.1576,0.01144,0.032875,0.0015,2024-07-07 02:20:40
281,281,medium,0.1401,0.008142,0.018286,0.0015,2023-11-03 06:53:31
282,282,medium,0.1559,0.005882,0.024584,0.0015,2023-08-27 12:25:49
283,283,low,0.1144,0.006211,0.016802,0.0,2025-07-06 22:43:05
284,284,medium,0.228,0.013096,0.048758,0.0015,2022-08-09 06:34:26
285,285,high,0.3035,0.014974,0.036477,0.004,2024-02-22 02:58:31
286,286,high,0.3521,0.024634,0.050644,0.004,2024-01-12 18:58:37
287,287,high,0.2622,0.014641,0.047045,0.004,2023-10-10 17:36:14
288,288,medium,0.1513,0.006743,0.020265,0.0015,2025-01-09 19:02:21
289,289,medium,0.2,0.011332,0.033078,0.0015,2023-01-01 05:20:41
290,290,low,0.1147,0.007333,0.011843,0.0,2025-07-28 18:16:14
291,291,low,0.1289,0.006105,0.026851,0.0,2023-03-30 14:04:23
292,292,medium,0.1372,0.009594,0.027533,0.0015,2024-01-16 13:35:13
293,293,medium,0.1752,0.00653,0.020127,0.0015,2023-12-14 06:42:58
294,294,high,0.4053,0.019013,0.075994,0.004,2025-03-08 11:54:28
295,295,low,0.0892,0.006429,0.009571,0.0,2023-08-24 10:20:27
296,296,low,0.1231,0.005625,0.025938,0.0,2023-01-25 06:38:23
297,297,medium,0.2243,0.008529,0.025655,0.0015,2022-01-30 13:34:04
298,298,low,0.1016,0.003739,0.014534,0.0,2023-05-13 12:17:03
299,299,low,0.0416,0.002708,0.008433,0.0,2025-02-04 08:48:59
300,300,low,0.0375,0.001815,0.004676,0.0,2022-01-14 13:34:06
301,301,low,0.01,0.000656,0.002114,0.0,2025-05-10 22:45:01
302,302,medium,0.2062,0.012588,0.037123,0.0015,2024-01-13 14:05:56
303,303,low,0.0315,0.002046,0.00494,0.0,2022-07-11 20:39:29
304,304,high,0.2957,0.021203,0.033922,0.004,2023-02-18 09:09:06
305,305,medium,0.1659,0.011212,0.029665,0.0015,2024-01-28 22:06:52
306,306,high,0.2774,0.01139,0.047344,0.004,2023-03-08 20:48:19
307,307,low,0.121,0.008628,0.018238,0.0,2022-05-29 12:45:31
308,308,low,0.0589,0.002852,0.008741,0.0,2024-06-30 01:44:49
309,309,low,0.0692,0.004647,0.011808,0.0,2024-07-08 14:59:12
310,310,medium,0.2283,0.012754,0.034103,0.0015,2022-06-12 14:52:45
311,311,medium,0.1307,0.005493,0.023794,0.0015,2023-01-20 17:28:03
312,312,medium,0.178,0.011139,0.027109,0.0015,2022-11-30 14:50:47
313,313,medium,0.156,0.009634,0.033939,0.0015,2024-06-21 02:09:50
314,314,low,0.1112,0.007927,0.018505,0.0,2024-09-26 01:03:52
315,315,high,0.29,0.014913,0.033904,0.004,2024-09-21 12:41:13
316,316,low,0.0528,0.003398,0.011411,0.0,2025-07-08 05:24:32
317,317,medium,0.1331,0.007418,0.029059,0.0015,2024-11-17 12:14:04
318,318,low,0.1171,0.006674,0.025656,0.0,2023-03-15 16:32:50
319,319,medium,0.1847,0.008998,0.025241,0.0015,2022-05-28 09:21:02
320,320,medium,0.1926,0.009525,0.027195,0.0015,2024-04-20 19:57:12
321,321,low,0.1038,0.006968,0.01046,0.0,2025-06-07 02:30:03
322,322,high,0.2942,0.017764,0.060762,0.004,2025-08-27 00:17:57
323,323,medium,0.2273,0.014197,0.042094,0.0015,2022-11-11 22:23:08
324,324,medium,0.1364,0.009851,0.018245,0.0015,2022-11-20 11:18:17
325,325,medium,0.207,0.012953,0.025332,0.0015,2022-02-21 04:19:44
326,326,low,0.0653,0.004203,0.013501,0.0,2022-07-13 05:55:07
327,327,medium,0.1561,0.010286,0.022249,0.0015,2024-01-30 00:54:58
328,328,medium,0.1995,0.010404,0.033421,0.0015,2024-01-19 00:38:43
329,329,low,0.0866,0.004626,0.010304,0.0,2023-05-23 10:07:13
330,330,medium,0.1601,0.011871,0.019389,0.0015,2023-03-01 00:27:25
331,331,medium,0.1915,0.010987,0.028053,0.0015,2025-02-09 03:39:24
332,332,medium,0.1437,0.00719,0.018692,0.0015,2023-09-22 07:50:02
333,333,low,0.129,0.004817,0.01635,0.0,2025-01-10 16:30:44
334,334,low,0.0675,0.002943,0.010047,0.0,2025-08-10 16:10:19
335,335,medium,0.2078,0.013737,0.025995,0.0015,2023-03-10 20:18:14
336,336,medium,0.1706,0.012298,0.0364,0.0015,2022-10-05 08:18:15
337,337,low,0.0147,0.000977,0.002504,0.0,2025-07-27 13:35:34
338,338,medium,0.1788,0.011951,0.018819,0.0015,2024-05-18 10:46:27
339,339,medium,0.1398,0.009791,0.017672,0.0015,2023-02-02 23:24:52
340,340,medium,0.1504,0.007941,0.023141,0.0015,2024-04-30 16:54:25
341,341,high,0.2504,0.01016,0.037968,0.004,2023-12-06 14:21:20
342,342,medium,0.1712,0.010235,0.031244,0.0015,2025-05-23 18:25:58
343,343,high,0.2577,0.01839,0.049657,0.004,2022-12-17 03:50:45
344,344,medium,0.2485,0.013124,0.041861,0.0015,2025-09-18 05:04:48
345,345,high,0.285,0.019286,0.04069,0.004,2025-07-04 12:10:56
346,346,medium,0.1326,0.009284,0.016243,0.0015,2022-09-05 04:48:28
347,347,medium,0.2108,0.008052,0.022016,0.0015,2022-08-14 04:24:13
348,348,medium,0.1673,0.008716,0.017945,0.0015,2023-12-31 08:36:18
349,349,medium,0.1984,0.010543,0.029605,0.0015,2022-03-03 10:30:19
350,350,medium,0.1987,0.010395,0.019903,0.0015,2023-02-13 18:08:04
351,351,low,0.0715,0.003259,0.010061,0.0,2023-08-19 05:06:24
352,352,medium,0.1656,0.009033,0.016708,0.0015,2025-08-19 02:27:52
353,353,medium,0.2293,0.014658,0.046622,0.0015,2025-09-19 13:40:28
354,354,medium,0.1994,0.012401,0.024994,0.0015,2022-07-27 07:21:33
355,355,low,0.111,0.008014,0.01994,0.0,2025-05-04 19:32:52
356,356,medium,0.1847,0.011895,0.038237,0.0015,2022-05-05 09:22:30
