account_id,email,created_at,region,business_segment,company_size,account_status,closed_at
26,company_00026@example.com,2024-05-30 19:22:46,Moscow,retail,small,active,
27,company_00027@example.com,2023-07-05 12:04:06,Northwest,other,small,active,
28,company_00028@example.com,2025-01-30 12:54:33,Moscow,retail,small,active,
29,company_00029@example.com,2024-01-17 03:31:43,Northwest,saas,small,active,
30,company_00030@example.com,2023-08-30 14:10:29,South,education,large,active,
31,company_00031@example.com,2022-11-07 20:42:06,Siberia,education,small,churned,2023-12-15 18:22:03.929666415
32,company_00032@example.com,2022-05-07 01:00:22,Northwest,saas,small,churned,2025-03-01 05:16:42.858933419
33,company_00033@example.com,2024-01-29 16:07:39,Volga,ecommerce,small,churned,2024-09-17 09:15:17.966889197
34,company_00034@example.com,2025-04-29 15:11:57,Northwest,saas,small,active,
35,company_00035@example.com,2022-03-29 07:14:53,Ural,education,small,active,
36,company_00036@example.com,2025-03-20 03:25:11,Volga,retail,small,active,
37,company_00037@example.com,2025-02-06 04:47:11,South,entertainment,large,active,
38,company_00038@example.com,2023-01-14 14:34:27,Moscow,retail,small,active,
39,company_00039@example.com,2024-05-14 02:48:19,Moscow,other,medium,active,
40,company_00040@example.com,2022-08-15 00:48:04,Saint Petersburg,other,small,active,
41,company_00041@example.com,2024-11-03 01:32:12,Central,retail,small,active,
42,company_00042@example.com,2024-08-16 07:34:12,Moscow,retail,small,active,
43,company_00043@example.com,2023-04-30 23:47:47,Volga,saas,small,active,
44,company_00044@example.com,2022-04-03 21:56:58,South,ecommerce,small,active,
45,company_00045@example.com,2025-08-20 21:57:27,South,travel,medium,active,
46,company_00046@example.com,2023-09-02 16:48:41,Siberia,ecommerce,medium,churned,2025-09-20 17:32:17.852775224
47,company_00047@example.com,2025-05-06 18:57:09,Northwest,ecommerce,small,active,
48,company_00048@example.com,2024-07-16 09:26:13,Siberia,education,small,active,
49,company_00049@example.com,2024-11-30 19:53:13,Volga,travel,small,active,
50,company_00050@example.com,2024-11-05 13:01:06,Moscow,travel,small,churned,2025-03-10 15:53:47.505380154
51,company_00051@example.com,2022-09-24 06:22:40,Far East,services,small,active,
52,company_00052@example.com,2023-05-13 19:45:46,Moscow,retail,small,active,
53,company_00053@example.com,2023-10-01 11:23:02,Moscow,retail,large,active,
54,company_00054@example.com,2023-11-12 23:29:30,Saint Petersburg,retail,small,active,
55,company_00055@example.com,2022-03-01 22:09:54,Volga,retail,small,active,
56,company_00056@example.com,2024-01-18 16:58:11,South,retail,medium,churned,2025-09-17 05:56:44.047734432
57,company_00057@example.com,2022-07-31 01:37:57,Moscow,services,medium,active,
58,company_00058@example.com,2024-10-13 22:31:04,Ural,ecommerce,small,churned,2025-04-29 07:31:25.555440174
59,company_00059@example.com,2024-07-23 09:51:47,Moscow,ecommerce,small,active,
60,company_00060@example.com,2025-06-16 00:26:02,Saint Petersburg,services,medium,active,
61,company_00061@example.com,2024-10-15 20:01:51,Saint Petersburg,ecommerce,medium,churned,2025-05-08 23:27:42.838981416
62,company_00062@example.com,2023-05-17 13:36:42,Saint Petersburg,other,small,churned,2025-03-20 13:38:57.731348000
63,company_00063@example.com,2025-08-16 13:16:46,Ural,retail,large,active,
64,company_00064@example.com,2023-07-17 01:02:19,Moscow,ecommerce,small,active,
65,company_00065@example.com,2023-03-22 17:29:53,Moscow,entertainment,medium,active,
66,company_00066@example.com,2025-05-23 18:33:00,Moscow,services,small,active,
67,company_00067@example.com,2023-05-22 18:55:59,Ural,saas,small,active,
68,company_00068@example.com,2022-04-15 10:29:58,Northwest,education,small,active,
69,company_00069@example.com,2023-10-05 08:27:23,South,retail,small,active,
70,company_00070@example.com,2024-12-24 11:45:53,Volga,services,small,churned,2025-09-21 14:19:42.894100767
71,company_00071@example.com,2022-09-17 04:43:25,Siberia,retail,small,active,
72,company_00072@example.com,2023-09-26 07:15:53,Saint Petersburg,services,small,active,
73,company_00073@example.com,2022-06-27 17:34:58,Moscow,retail,small,active,
74,company_00074@example.com,2024-07-28 02:27:09,Volga,retail,medium,active,
75,company_00075@example.com,2023-10-13 18:20:38,Saint Petersburg,ecommerce,medium,active,
76,company_00076@example.com,2023-03-28 17:00:21,Central,saas,small,active,
77,company_00077@example.com,2022-11-07 09:53:15,Central,retail,small,active,
78,company_00078@example.com,2024-02-12 05:39:37,Saint Petersburg,other,small,active,
79,company_00079@example.com,2024-07-05 07:19:59,Central,retail,medium,active,
80,company_00080@example.com,2025-07-10 08:07:47,Central,education,small,active,
81,company_00081@example.com,2023-08-22 00:34:18,Moscow,retail,small,active,
82,company_00082@example.com,2022-08-08 19:42:49,Siberia,services,large,active,
83,company_00083@example.com,2025-02-13 02:29:25,South,saas,large,active,
84,company_00084@example.com,2024-05-11 12:25:17,Moscow,education,small,active,
85,company_00085@example.com,2024-08-15 23:06:13,Moscow,retail,small,active,
86,company_00086@example.com,2022-05-14 00:08:41,Moscow,travel,small,active,
87,company_00087@example.com,2023-03-04 07:37:17,Moscow,ecommerce,medium,active,
88,company_00088@example.com,2024-11-16 09:51:05,Moscow,services,small,active,
89,company_00089@example.com,2025-02-12 12:45:13,Moscow,travel,small,active,
90,company_00090@example.com,2023-08-19 09:02:01,Siberia,retail,small,active,
91,company_00091@example.com,2025-01-05 22:01:24,Ural,services,small,churned,2025-11-05 18:22:16.160412297
92,company_00092@example.com,2025-02-25 10:25:38,Ural,travel,small,active,
93,company_00093@example.com,2023-06-15 01:41:24,Volga,ecommerce,small,active,
94,company_00094@example.com,2025-05-13 14:00:46,South,retail,medium,active,
95,company_00095@example.com,2023-01-30 10:23:17,South,retail,medium,active,
96,company_00096@example.com,2022-11-24 17:09:40,Siberia,saas,small,active,
97,company_00097@example.com,2024-07-22 15:41:32,South,services,medium,active,
98,company_00098@example.com,2024-05-21 02:09:51,South,education,small,active,
99,company_00099@example.com,2022-07-11 04:21:12,Ural,retail,small,active,
100,company_00100@example.com,2025-02-13 04:24:46,Volga,ecommerce,small,active,
101,company_00101@example.com,2022-10-01 11:23:09,Moscow,ecommerce,medium,active,
102,company_00102@example.com,2025-01-06 02:26:51,Moscow,retail,medium,active,
103,company_00103@example.com,2022-01-11 01:43:04,Central,ecommerce,medium,active,
104,company_00104@example.com,2024-12-26 01:56:08,Moscow,ecommerce,medium,active,
105,company_00105@example.com,2024-12-12 12:18:04,Moscow,services,large,active,
106,company_00106@example.com,2024-12-03 12:55:16,Moscow,services,small,churned,2025-08-11 08:10:59.492751943
107,company_00107@example.com,2024-06-28 12:22:59,Saint Petersburg,ecommerce,large,churned,2026-05-03 22:36:14.284521006
108,company_00108@example.com,2023-10-08 02:29:32,Northwest,services,small,active,
109,company_00109@example.com,2024-08-22 15:59:22,Saint Petersburg,ecommerce,small,churned,2025-05-22 15:33:37.327375712
110,company_00110@example.com,2023-01-15 02:27:25,Moscow,retail,small,active,
111,company_00111@example.com,2024-12-04 00:53:43,Central,other,small,active,
112,company_00112@example.com,2024-01-31 03:00:03,Saint Petersburg,education,small,churned,2025-06-30 07:03:15.332085185
113,company_00113@example.com,2023-09-20 19:07:21,South,ecommerce,small,active,
114,company_00114@example.com,2023-11-23 16:03:51,Volga,retail,small,active,
115,company_00115@example.com,2024-02-18 00:54:39,Moscow,services,small,active,
116,company_00116@example.com,2022-02-20 23:23:46,Volga,ecommerce,medium,active,
117,company_00117@example.com,2022-07-11 05:48:54,Moscow,other,small,active,
118,company_00118@example.com,2022-12-02 19:38:15,South,education,small,churned,2025-12-13 18:06:02.252531797
119,company_00119@example.com,2022-06-06 16:15:04,Far East,ecommerce,small,churned,2025-03-08 21:48:38.375171646
120,company_00120@example.com,2023-08-25 09:23:34,Siberia,services,small,active,
121,company_00121@example.com,2024-07-03 09:00:21,Moscow,services,small,active,
122,company_00122@example.com,2024-06-14 06:12:29,Ural,education,medium,active,
123,company_00123@example.com,2023-10-07 11:01:50,Ural,entertainment,small,active,
124,company_00124@example.com,2025-03-15 17:59:12,Siberia,entertainment,medium,churned,2025-10-25 10:36:04.433718095
125,company_00125@example.com,2024-02-13 05:49:54,Saint Petersburg,ecommerce,medium,active,
126,company_00126@example.com,2022-04-19 08:12:32,Central,ecommerce,small,active,
127,company_00127@example.com,2024-11-12 12:26:32,Moscow,retail,medium,active,
128,company_00128@example.com,2024-02-26 01:17:15,Moscow,services,small,active,
129,company_00129@example.com,2024-05-18 07:04:18,South,services,medium,active,
130,company_00130@example.com,2024-02-13 10:20:13,Central,retail,medium,churned,2025-07-13 20:12:55.313699186
131,company_00131@example.com,2024-01-28 07:07:07,Moscow,other,medium,active,
132,company_00132@example.com,2022-05-04 21:28:36,Siberia,retail,small,active,
133,company_00133@example.com,2024-02-04 23:53:22,Central,saas,medium,active,
134,company_00134@example.com,2024-12-23 10:34:15,Northwest,saas,large,active,
135,company_00135@example.com,2023-02-20 19:17:22,Ural,ecommerce,small,active,
136,company_00136@example.com,2024-04-04 16:23:06,Siberia,ecommerce,medium,active,
137,company_00137@example.com,2022-02-12 03:48:40,Ural,ecommerce,medium,churned,2022-10-10 09:35:39.222877670
138,company_00138@example.com,2023-04-21 09:05:37,Moscow,entertainment,small,active,
139,company_00139@example.com,2023-08-21 10:18:19,Moscow,retail,large,active,
140,company_00140@example.com,2022-10-21 13:14:38,Far East,saas,small,active,
141,company_00141@example.com,2023-01-14 07:38:05,Moscow,education,small,active,
142,company_00142@example.com,2023-07-13 20:48:44,Central,education,small,churned,2025-04-02 12:27:54.737913847
143,company_00143@example.com,2025-09-19 23:11:51,Volga,entertainment,small,active,
144,company_00144@example.com,2025-03-13 10:55:46,Moscow,education,medium,active,
145,company_00145@example.com,2022-02-17 11:02:21,Moscow,travel,small,active,
146,company_00146@example.com,2022-11-17 00:42:04,Central,education,small,active,
147,company_00147@example.com,2025-01-29 01:12:55,Saint Petersburg,ecommerce,small,active,
148,company_00148@example.com,2022-03-21 18:11:44,South,ecommerce,small,churned,2024-03-19 13:15:34.623205878
149,company_00149@example.com,2025-03-16 13:23:07,Moscow,ecommerce,medium,active,
150,company_00150@example.com,2023-01-20 22:23:45,Central,travel,medium,active,
151,company_00151@example.com,2025-06-09 08:21:17,Moscow,retail,small,active,
152,company_00152@example.com,2023-02-06 15:16:12,Volga,education,small,active,
153,company_00153@example.com,2023-08-18 03:29:21,Moscow,ecommerce,small,active,
154,company_00154@example.com,2024-06-24 12:02:34,Moscow,services,small,active,
155,company_00155@example.com,2022-06-22 18:02:56,Ural,saas,small,active,
156,company_00156@example.com,2024-02-02 00:28:46,Moscow,services,small,active,
157,company_00157@example.com,2023-11-22 20:40:07,South,other,small,active,
158,company_00158@example.com,2024-12-08 08:56:45,Saint Petersburg,ecommerce,small,active,
159,company_00159@example.com,2025-09-24 16:10:55,Moscow,ecommerce,small,active,
160,company_00160@example.com,2024-06-27 18:44:31,Saint Petersburg,education,small,active,
161,company_00161@example.com,2023-07-14 18:24:33,Siberia,retail,medium,active,
162,company_00162@example.com,2023-07-10 22:29:36,Central,services,medium,active,
163,company_00163@example.com,2023-07-26 18:25:17,Moscow,saas,small,active,
164,company_00164@example.com,2025-01-18 13:55:02,Volga,ecommerce,medium,active,
165,company_00165@example.com,2023-03-16 10:09:17,Central,entertainment,medium,active,
166,company_00166@example.com,2022-08-17 10:03:17,Ural,ecommerce,small,active,
167,company_00167@example.com,2023-04-03 07:27:23,Northwest,services,small,active,
168,company_00168@example.com,2022-02-01 01:40:58,Volga,retail,small,churned,2025-06-11 14:24:15.982675076
169,company_00169@example.com,2022-05-26 04:52:23,Central,services,medium,active,
170,company_00170@example.com,2022-05-04 04:27:04,Saint Petersburg,ecommerce,small,active,
171,company_00171@example.com,2024-11-21 11:36:31,Northwest,other,medium,active,
172,company_00172@example.com,2024-09-15 04:30:07,Central,other,small,active,
173,company_00173@example.com,2024-08-11 04:22:43,Moscow,education,small,active,
174,company_00174@example.com,2023-09-24 20:21:11,Northwest,education,large,churned,2026-01-20 07:48:37.167018160
175,company_00175@example.com,2024-09-07 22:27:54,Northwest,services,small,active,
176,company_00176@example.com,2022-08-09 14:52:30,Central,services,medium,active,
177,company_00177@example.com,2025-05-17 01:12:39,Saint Petersburg,services,large,active,
178,company_00178@example.com,2023-11-17 10:18:07,South,services,medium,active,
179,company_00179@example.com,2025-07-07 06:06:11,Ural,saas,small,active,
180,company_00180@example.com,2022-07-28 08:42:39,Central,services,medium,active,
181,company_00181@example.com,2023-11-12 08:20:27,Saint Petersburg,ecommerce,small,active,
182,company_00182@example.com,2024-08-10 13:35:25,Saint Petersburg,entertainment,small,churned,2025-03-26 01:07:00.328190977
183,company_00183@example.com,2023-11-10 00:23:18,Saint Petersburg,ecommerce,medium,active,
184,company_00184@example.com,2023-09-03 08:12:10,Moscow,ecommerce,medium,active,
185,company_00185@example.com,2022-08-16 09:08:28,Ural,other,small,active,
186,company_00186@example.com,2023-06-06 05:41:20,Moscow,ecommerce,small,active,
187,company_00187@example.com,2022-11-23 15:10:26,Central,ecommerce,medium,active,
188,company_00188@example.com,2023-02-17 11:14:41,Siberia,services,medium,active,
189,company_00189@example.com,2024-07-24 07:15:36,Central,saas,small,active,
190,company_00190@example.com,2024-05-12 05:26:17,Saint Petersburg,ecommerce,medium,active,
191,company_00191@example.com,2024-04-10 15:28:23,Far East,education,small,active,
192,company_00192@example.com,2023-05-10 23:01:53,Moscow,ecommerce,small,active,
193,company_00193@example.com,2025-08-05 20:37:36,Siberia,education,small,active,
194,company_00194@example.com,2022-04-30 21:43:19,Moscow,retail,large,active,
195,company_00195@example.com,2023-04-14 15:56:25,Central,ecommerce,small,active,
196,company_00196@example.com,2022-06-11 10:22:11,Volga,other,small,active,
197,company_00197@example.com,2023-04-09 16:12:10,Saint Petersburg,services,small,active,
198,company_00198@example.com,2025-08-08 21:01:26,Volga,saas,medium,active,
199,company_00199@example.com,2025-05-27 22:31:16,Moscow,entertainment,small,churned,2025-10-15 03:56:36.250649534
200,company_00200@example.com,2023-11-09 05:59:44,Volga,other,small,active,
201,company_00201@example.com,2024-08-15 04:47:04,Moscow,travel,large,active,
202,company_00202@example.com,2023-09-18 17:55:51,Ural,retail,small,active,
203,company_00203@example.com,2022-12-30 17:02:33,Volga,saas,small,active,
204,company_00204@example.com,2024-11-11 11:10:53,Central,education,small,active,
205,company_00205@example.com,2025-08-18 19:59:55,Moscow,retail,medium,active,
206,company_00206@example.com,2022-12-27 12:02:53,Central,retail,small,churned,2024-07-11 00:37:16.688127816
207,company_00207@example.com,2024-12-01 07:56:58,Volga,retail,small,active,
208,company_00208@example.com,2022-12-24 05:44:54,Saint Petersburg,education,small,active,
209,company_00209@example.com,2024-09-07 16:56:19,South,saas,medium,active,
210,company_00210@example.com,2024-12-15 08:39:48,Moscow,education,medium,churned,2025-11-20 05:42:54.167702273
211,company_00211@example.com,2023-09-07 17:26:12,Moscow,retail,small,active,
212,company_00212@example.com,2024-10-05 02:32:39,South,ecommerce,small,active,
213,company_00213@example.com,2023-01-08 10:14:05,Moscow,saas,medium,active,
214,company_00214@example.com,2022-04-19 10:03:04,Moscow,retail,small,active,
215,company_00215@example.com,2022-05-12 20:42:29,South,education,small,active,
216,company_00216@example.com,2023-09-04 12:40:57,South,travel,small,active,
217,company_00217@example.com,2025-05-19 18:14:30,Moscow,saas,small,active,
218,company_00218@example.com,2022-06-24 12:36:11,Moscow,education,small,active,
219,company_00219@example.com,2023-09-16 12:02:49,Central,services,small,active,
220,company_00220@example.com,2024-08-21 02:46:50,Volga,ecommerce,small,active,
221,company_00221@example.com,2022-10-04 19:59:38,Central,other,small,active,
222,company_00222@example.com,2024-09-14 04:06:34,South,services,medium,churned,2025-07-21 00:21:26.512523274
223,company_00223@example.com,2023-02-23 13:10:04,Ural,travel,small,active,
224,company_00224@example.com,2025-01-11 05:56:58,Far East,ecommerce,small,active,
225,company_00225@example.com,2024-03-03 08:56:12,Saint Petersburg,services,medium,active,
226,company_00226@example.com,2024-01-19 04:03:34,Moscow,retail,small,active,
227,company_00227@example.com,2022-08-30 19:48:14,Saint Petersburg,education,medium,active,
228,company_00228@example.com,2023-09-26 15:58:35,Moscow,services,small,active,
229,company_00229@example.com,2025-03-17 20:21:36,Central,saas,medium,active,
230,company_00230@example.com,2022-01-27 17:00:42,Siberia,retail,small,active,
231,company_00231@example.com,2024-11-03 15:42:47,Saint Petersburg,entertainment,small,active,
232,company_00232@example.com,2023-11-06 02:22:29,Moscow,ecommerce,small,active,
233,company_00233@example.com,2024-09-11 05:24:27,Volga,services,small,active,
234,company_00234@example.com,2024-06-26 09:24:01,Northwest,ecommerce,small,active,
235,company_00235@example.com,2023-08-15 02:28:43,Moscow,retail,medium,active,
236,company_00236@example.com,2023-02-27 06:09:41,Ural,entertainment,medium,active,
237,company_00237@example.com,2024-05-08 03:48:13,Ural,ecommerce,small,active,
238,company_00238@example.com,2022-07-11 19:50:35,Central,entertainment,medium,active,
239,company_00239@example.com,2024-03-10 01:06:16,Volga,retail,medium,active,
240,company_00240@example.com,2022-05-10 13:00:58,Central,services,medium,churned,2025-01-10 07:14:32.087956235
241,company_00241@example.com,2024-06-07 23:45:49,Saint Petersburg,ecommerce,medium,churned,2025-08-06 09:31:58.191011351
242,company_00242@example.com,2024-05-10 02:57:54,Central,services,medium,active,
243,company_00243@example.com,2022-04-26 12:28:33,Moscow,entertainment,small,active,
244,company_00244@example.com,2024-11-02 05:50:33,South,services,small,active,
245,company_00245@example.com,2023-07-23 19:47:19,Ural,retail,medium,active,
246,company_00246@example.com,2024-12-12 11:03:22,Saint Petersburg,saas,small,active,
247,company_00247@example.com,2022-02-26 22:16:35,Volga,travel,small,active,
248,company_00248@example.com,2022-09-03 11:54:56,Moscow,ecommerce,small,active,
249,company_00249@example.com,2023-11-07 18:42:23,Moscow,services,large,churned,2026-04-09 08:04:11.139319576
250,company_00250@example.com,2022-09-15 11:48:31,South,services,small,active,
251,company_00251@example.com,2023-03-28 06:00:11,Moscow,travel,medium,active,
252,company_00252@example.com,2024-06-22 16:47:16,Ural,retail,medium,active,
253,company_00253@example.com,2022-07-17 17:01:05,Saint Petersburg,retail,large,active,
254,company_00254@example.com,2024-07-16 02:20:34,Ural,other,small,churned,2025-07-01 22:54:06.878180362
255,company_00255@example.com,2022-05-22 10:55:34,Saint Petersburg,services,medium,churned,2023-01-08 18:50:09.506923892
256,company_00256@example.com,2022-08-28 15:40:47,Saint Petersburg,education,medium,churned,2024-01-08 11:29:20.328794397
257,company_00257@example.com,2024-03-14 21:32:47,Ural,other,small,active,
258,company_00258@example.com,2024-12-21 11:38:29,Volga,ecommerce,medium,active,
259,company_00259@example.com,2022-08-22 08:54:30,Moscow,retail,small,active,
260,company_00260@example.com,2023-02-15 09:21:47,Siberia,travel,small,active,
261,company_00261@example.com,2025-06-19 13:32:37,Saint Petersburg,travel,small,active,
262,company_00262@example.com,2025-09-15 21:17:41,Moscow,other,small,active,
263,company_00263@example.com,2024-03-05 21:23:57,Central,services,small,active,
264,company_00264@example.com,2023-09-04 13:09:23,Volga,retail,small,active,
265,company_00265@example.com,2023-04-20 12:25:45,Volga,retail,small,active,
266,company_00266@example.com,2024-04-17 20:01:17,Siberia,ecommerce,small,active,
267,company_00267@example.com,2024-03-19 08:56:14,Volga,entertainment,small,active,
268,company_00268@example.com,2023-02-08 05:19:53,Moscow,ecommerce,small,active,
269,company_00269@example.com,2022-02-01 04:41:48,Saint Petersburg,services,medium,active,
270,company_00270@example.com,2022-07-27 05:59:32,Moscow,retail,medium,active,
271,company_00271@example.com,2025-08-04 07:24:57,South,ecommerce,small,active,
272,company_00272@example.com,2023-07-27 00:51:43,Moscow,retail,large,active,
273,company_00273@example.com,2023-10-22 18:59:11,Volga,services,small,active,
274,company_00274@example.com,2023-10-02 00:04:30,Volga,ecommerce,medium,active,
275,company_00275@example.com,2024-12-06 18:45:46,Ural,other,small,active,
276,company_00276@example.com,2022-03-30 20:39:14,Moscow,entertainment,medium,active,
277,company_00277@example.com,2022-04-24 04:11:28,Moscow,ecommerce,large,active,
278,company_00278@example.com,2023-01-13 08:37:00,Siberia,saas,medium,active,
279,company_00279@example.com,2023-10-28 17:57:58,Volga,retail,small,active,
280,company_00280@example.com,2024-07-07 02:20:40,Central,ecommerce,small,active,
281,company_00281@example.com,2023-11-03 06:53:31,Ural,retail,small,active,
282,company_00282@example.com,2023-08-27 12:25:49,Siberia,saas,medium,active,
283,company_00283@example.com,2025-07-06 22:43:05,Saint Petersburg,services,medium,active,
284,company_00284@example.com,2022-08-09 06:34:26,Siberia,ecommerce,large,active,
285,company_00285@example.com,2024-02-22 02:58:31,Moscow,travel,small,active,
286,company_00286@example.com,2024-01-12 18:58:37,Northwest,travel,small,active,
287,company_00287@example.com,2023-10-10 17:36:14,Moscow,travel,small,active,
288,company_00288@example.com,2025-01-09 19:02:21,Saint Petersburg,services,small,active,
289,company_00289@example.com,2023-01-01 05:20:41,Moscow,saas,small,active,
290,company_00290@example.com,2025-07-28 18:16:14,Ural,services,small,active,
291,company_00291@example.com,2023-03-30 14:04:23,Northwest,ecommerce,medium,active,
292,company_00292@example.com,2024-01-16 13:35:13,Saint Petersburg,saas,small,active,
293,company_00293@example.com,2023-12-14 06:42:58,Saint Petersburg,retail,small,churned,2025-07-28 02:26:18.640871368
294,company_00294@example.com,2025-03-08 11:54:28,Saint Petersburg,travel,small,churned,2025-09-28 14:25:59.759038499
295,company_00295@example.com,2023-08-24 10:20:27,Moscow,services,medium,active,
296,company_00296@example.com,2023-01-25 06:38:23,Ural,retail,medium,active,
297,company_00297@example.com,2022-01-30 13:34:04,Moscow,ecommerce,small,active,
298,company_00298@example.com,2023-05-13 12:17:03,Northwest,services,small,active,
299,company_00299@example.com,2025-02-04 08:48:59,Far East,saas,small,active,
300,company_00300@example.com,2022-01-14 13:34:06,Moscow,saas,small,active,
301,company_00301@example.com,2025-05-10 22:45:01,Volga,services,small,active,
302,company_00302@example.com,2024-01-13 14:05:56,Northwest,ecommerce,small,active,
303,company_00303@example.com,2022-07-11 20:39:29,Siberia,retail,large,active,
304,company_00304@example.com,2023-02-18 09:09:06,South,travel,small,active,
305,company_00305@example.com,2024-01-28 22:06:52,Moscow,retail,medium,active,
306,company_00306@example.com,2023-03-08 20:48:19,Moscow,travel,small,active,
307,company_00307@example.com,2022-05-29 12:45:31,Ural,retail,large,active,
308,company_00308@example.com,2024-06-30 01:44:49,Saint Petersburg,ecommerce,large,active,
309,company_00309@example.com,2024-07-08 14:59:12,South,services,medium,active,
310,company_00310@example.com,2022-06-12 14:52:45,South,services,small,active,
311,company_00311@example.com,2023-01-20 17:28:03,Central,services,small,churned,2024-03-13 07:15:14.874444589
312,company_00312@example.com,2022-11-30 14:50:47,Moscow,retail,medium,active,
313,company_00313@example.com,2024-06-21 02:09:50,Central,saas,medium,active,
314,company_00314@example.com,2024-09-26 01:03:52,Siberia,education,small,active,
315,company_00315@example.com,2024-09-21 12:41:13,Saint Petersburg,travel,small,active,
316,company_00316@example.com,2025-07-08 05:24:32,Moscow,services,small,churned,2026-01-14 10:34:05.806834057
317,company_00317@example.com,2024-11-17 12:14:04,Northwest,retail,medium,active,
318,company_00318@example.com,2023-03-15 16:32:50,South,services,medium,active,
319,company_00319@example.com,2022-05-28 09:21:02,Volga,services,small,active,
320,company_00320@example.com,2024-04-20 19:57:12,Ural,education,small,active,
321,company_00321@example.com,2025-06-07 02:30:03,Central,services,small,active,
322,company_00322@example.com,2025-08-27 00:17:57,Northwest,ecommerce,small,active,
323,company_00323@example.com,2022-11-11 22:23:08,Siberia,entertainment,small,active,
324,company_00324@example.com,2022-11-20 11:18:17,Saint Petersburg,retail,medium,active,
325,company_00325@example.com,2022-02-21 04:19:44,Saint Petersburg,ecommerce,small,active,
326,company_00326@example.com,2022-07-13 05:55:07,Saint Petersburg,saas,small,churned,2025-07-05 13:18:40.376912266
327,company_00327@example.com,2024-01-30 00:54:58,South,ecommerce,small,active,
328,company_00328@example.com,2024-01-19 00:38:43,Volga,other,small,churned,2026-04-16 12:29:40.072644450
329,company_00329@example.com,2023-05-23 10:07:13,Volga,education,small,active,
330,company_00330@example.com,2023-03-01 00:27:25,Northwest,retail,small,active,
331,company_00331@example.com,2025-02-09 03:39:24,Central,ecommerce,small,active,
332,company_00332@example.com,2023-09-22 07:50:02,Ural,ecommerce,medium,active,
333,company_00333@example.com,2025-01-10 16:30:44,South,ecommerce,small,active,
334,company_00334@example.com,2025-08-10 16:10:19,Volga,ecommerce,small,active,
335,company_00335@example.com,2023-03-10 20:18:14,Moscow,retail,small,active,
336,company_00336@example.com,2022-10-05 08:18:15,South,retail,medium,active,
337,company_00337@example.com,2025-07-27 13:35:34,South,education,small,active,
338,company_00338@example.com,2024-05-18 10:46:27,Moscow,ecommerce,medium,active,
339,company_00339@example.com,2023-02-02 23:24:52,Ural,ecommerce,large,active,
340,company_00340@example.com,2024-04-30 16:54:25,Central,ecommerce,small,active,
341,company_00341@example.com,2023-12-06 14:21:20,Saint Petersburg,ecommerce,small,active,
342,company_00342@example.com,2025-05-23 18:25:58,Ural,retail,medium,active,
343,company_00343@example.com,2022-12-17 03:50:45,Saint Petersburg,ecommerce,small,active,
344,company_00344@example.com,2025-09-18 05:04:48,Volga,retail,small,active,
345,company_00345@example.com,2025-07-04 12:10:56,Volga,entertainment,small,churned,2026-01-14 06:13:16.068044540
346,company_00346@example.com,2022-09-05 04:48:28,Moscow,retail,small,churned,2023-09-03 08:21:31.787329111
347,company_00347@example.com,2022-08-14 04:24:13,Central,ecommerce,small,active,
348,company_00348@example.com,2023-12-31 08:36:18,Moscow,services,small,active,
349,company_00349@example.com,2022-03-03 10:30:19,Moscow,education,small,active,
