monthly_pricing_id,payment_system_id,pricing_month,monthly_volume,volume_tier_id,provider_cost_rate
46,1,2025-10-01,2110608126.81,4,0.023
47,1,2025-11-01,1957117538.37,4,0.023
48,1,2025-12-01,1932925844.39,4,0.023
49,1,2026-01-01,2203033318.23,4,0.023
50,1,2026-02-01,2019862281.4,4,0.023
51,1,2026-03-01,1876096573.17,4,0.023
52,1,2026-04-01,1953667393.03,4,0.023
53,1,2026-05-01,1939975317.82,4,0.023
54,1,2026-06-01,1759963812.63,4,0.023
55,2,2022-01-01,27855442.67,5,0.05
56,2,2022-02-01,31093855.96,5,0.05
57,2,2022-03-01,51362191.19,5,0.05
58,2,2022-04-01,110853820.91,6,0.047
59,2,2022-05-01,130640573.87,6,0.047
60,2,2022-06-01,173562312.55,6,0.047
61,2,2022-07-01,155018866.57,6,0.047
62,2,2022-08-01,285313409.24,6,0.047
63,2,2022-09-01,311310807.5,6,0.047
64,2,2022-10-01,256632419.97,6,0.047
65,2,2022-11-01,415142155.34,6,0.047
66,2,2022-12-01,319261560.34,6,0.047
67,2,2023-01-01,329732850.91,6,0.047
68,2,2023-02-01,328855793.14,6,0.047
69,2,2023-03-01,511843385.24,7,0.044
70,2,2023-04-01,494745549.37,6,0.047
71,2,2023-05-01,386647029.13,6,0.047
72,2,2023-06-01,686472723.61,7,0.044
73,2,2023-07-01,672235390.64,7,0.044
74,2,2023-08-01,474580098.35,6,0.047
75,2,2023-09-01,595202678.64,7,0.044
76,2,2023-10-01,566792708.72,7,0.044
77,2,2023-11-01,567917799.28,7,0.044
78,2,2023-12-01,542370902.69,7,0.044
79,2,2024-01-01,605938083.86,7,0.044
80,2,2024-02-01,690577922.27,7,0.044
81,2,2024-03-01,707005277.27,7,0.044
82,2,2024-04-01,685557421.2,7,0.044
83,2,2024-05-01,766803424.77,7,0.044
84,2,2024-06-01,804238083.28,7,0.044
85,2,2024-07-01,923543605.71,7,0.044
86,2,2024-08-01,986910346.58,7,0.044
87,2,2024-09-01,938434778.2,7,0.044
88,2,2024-10-01,1130247828.04,8,0.04
89,2,2024-11-01,1325369527.49,8,0.04
90,2,2024-12-01,1273783420.59,8,0.04
91,2,2025-01-01,1289933268.95,8,0.04
92,2,2025-02-01,1194626469.07,8,0.04
93,2,2025-03-01,1583318774.77,8,0.04
94,2,2025-04-01,1579186271.49,8,0.04
95,2,2025-05-01,1192869644.82,8,0.04
96,2,2025-06-01,1579027139.83,8,0.04
97,2,2025-07-01,1557050010.75,8,0.04
98,2,2025-08-01,1574039442.7,8,0.04
99,2,2025-09-01,1651988574.25,8,0.04
100,2,2025-10-01,1835657892.61,8,0.04
101,2,2025-11-01,1771363123.48,8,0.04
102,2,2025-12-01,1644339717.2,8,0.04
103,2,2026-01-01,1798421778.6,8,0.04
104,2,2026-02-01,1692158622.63,8,0.04
105,2,2026-03-01,1848484838.52,8,0.04
106,2,2026-04-01,1499292824.23,8,0.04
107,2,2026-05-01,1605485912.24,8,0.04
108,2,2026-06-01,1533722163.02,8,0.04
109,3,2022-01-01,20112849.44,9,0.028
110,3,2022-02-01,38063818.83,9,0.028
111,3,2022-03-01,98207754.94,9,0.028
112,3,2022-04-01,194282311.52,10,0.027
113,3,2022-05-01,168114497.83,10,0.027
114,3,2022-06-01,201671309.98,10,0.027
115,3,2022-07-01,388744026.19,10,0.027
116,3,2022-08-01,301033724.78,10,0.027
117,3,2022-09-01,310532681.22,10,0.027
118,3,2022-10-01,389776338.01,10,0.027
119,3,2022-11-01,400179984.79,10,0.027
120,3,2022-12-01,466900530.24,10,0.027
121,3,2023-01-01,597960252.22,11,0.026
122,3,2023-02-01,601043796.49,11,0.026
123,3,2023-03-01,593618226.08,11,0.026
124,3,2023-04-01,692516711.61,11,0.026
125,3,2023-05-01,663147762.7,11,0.026
126,3,2023-06-01,623637234.49,11,0.026
127,3,2023-07-01,631122256.82,11,0.026
128,3,2023-08-01,736654316.55,11,0.026
129,3,2023-09-01,713483047.66,11,0.026
130,3,2023-10-01,864874544.84,11,0.026
131,3,2023-11-01,819277977.33,11,0.026
132,3,2023-12-01,977643441.44,11,0.026
133,3,2024-01-01,883357880.51,11,0.026
134,3,2024-02-01,788702379.31,11,0.026
135,3,2024-03-01,1148940886.91,12,0.025
136,3,2024-04-01,1065373791.26,12,0.025
137,3,2024-05-01,1235370300.75,12,0.025
138,3,2024-06-01,1026839117.05,12,0.025
139,3,2024-07-01,1054716076.97,12,0.025
140,3,2024-08-01,1344465954.08,12,0.025
141,3,2024-09-01,1239465301.33,12,0.025
142,3,2024-10-01,1519522499.85,12,0.025
143,3,2024-11-01,1588134358.94,12,0.025
144,3,2024-12-01,1667336512.61,12,0.025
145,3,2025-01-01,1649632673.81,12,0.025
146,3,2025-02-01,1672611844.83,12,0.025
147,3,2025-03-01,1614642260.22,12,0.025
148,3,2025-04-01,1797825176.0,12,0.025
149,3,2025-05-01,1820134390.16,12,0.025
150,3,2025-06-01,1804707215.19,12,0.025
151,3,2025-07-01,1757965183.9,12,0.025
152,3,2025-08-01,2097079850.63,12,0.025
153,3,2025-09-01,2250603276.73,12,0.025
154,3,2025-10-01,2418468274.59,12,0.025
155,3,2025-11-01,2311429797.58,12,0.025
156,3,2025-12-01,2135979264.85,12,0.025
157,3,2026-01-01,2246492229.43,12,0.025
158,3,2026-02-01,1911093984.38,12,0.025
159,3,2026-03-01,2073384582.33,12,0.025
160,3,2026-04-01,1847212127.87,12,0.025
161,3,2026-05-01,2216444335.78,12,0.025
162,3,2026-06-01,1877594371.03,12,0.025
163,4,2022-01-01,14710935.79,13,0.025
164,4,2022-02-01,67558385.18,13,0.025
165,4,2022-03-01,122877585.49,14,0.024
166,4,2022-04-01,142220490.75,14,0.024
167,4,2022-05-01,206365611.74,14,0.024
168,4,2022-06-01,227191082.36,14,0.024
169,4,2022-07-01,332225777.42,14,0.024
170,4,2022-08-01,407128514.19,14,0.024
171,4,2022-09-01,344544507.36,14,0.024
172,4,2022-10-01,519033648.59,15,0.023
173,4,2022-11-01,402905544.68,14,0.024
174,4,2022-12-01,703636293.66,15,0.023
175,4,2023-01-01,767687765.72,15,0.023
176,4,2023-02-01,644802561.19,15,0.023
177,4,2023-03-01,721794389.02,15,0.023
178,4,2023-04-01,829540526.85,15,0.023
179,4,2023-05-01,843810640.67,15,0.023
180,4,2023-06-01,665789776.3,15,0.023
181,4,2023-07-01,654227720.2,15,0.023
182,4,2023-08-01,960326376.18,15,0.023
183,4,2023-09-01,1158173992.18,16,0.022
184,4,2023-10-01,1128215055.09,16,0.022
185,4,2023-11-01,939566765.26,15,0.023
186,4,2023-12-01,935378379.93,15,0.023
187,4,2024-01-01,1091598163.37,16,0.022
188,4,2024-02-01,1240654398.9,16,0.022
189,4,2024-03-01,995316718.61,15,0.023
190,4,2024-04-01,1206363230.59,16,0.022
191,4,2024-05-01,1280764115.47,16,0.022
192,4,2024-06-01,1436703444.79,16,0.022
193,4,2024-07-01,1633662109.96,16,0.022
194,4,2024-08-01,1468381178.91,16,0.022
195,4,2024-09-01,1764094393.34,16,0.022
196,4,2024-10-01,1698824715.73,16,0.022
197,4,2024-11-01,1890070626.71,16,0.022
198,4,2024-12-01,2030816555.67,16,0.022
199,4,2025-01-01,1993952469.36,16,0.022
200,4,2025-02-01,1926672842.95,16,0.022
201,4,2025-03-01,2102208982.59,16,0.022
202,4,2025-04-01,2152760418.88,16,0.022
203,4,2025-05-01,2329148547.59,16,0.022
204,4,2025-06-01,2221281321.04,16,0.022
205,4,2025-07-01,2325045995.0,16,0.022
206,4,2025-08-01,2638998045.96,16,0.022
207,4,2025-09-01,2881868040.99,16,0.022
208,4,2025-10-01,2780619507.25,16,0.022
209,4,2025-11-01,2784879305.6,16,0.022
210,4,2025-12-01,2905653796.97,16,0.022
211,4,2026-01-01,2992103679.98,16,0.022
212,4,2026-02-01,2488074661.91,16,0.022
213,4,2026-03-01,2726048672.39,16,0.022
214,4,2026-04-01,2581418455.57,16,0.022
215,4,2026-05-01,2598938226.73,16,0.022
216,4,2026-06-01,2656407247.84,16,0.022
217,5,2022-01-01,648463.27,17,0.023
218,5,2022-02-01,54888336.66,17,0.023
219,5,2022-03-01,67479294.27,17,0.023
220,5,2022-04-01,37530361.35,17,0.023
221,5,2022-05-01,107394974.46,18,0.022
222,5,2022-06-01,100383356.5,18,0.022
223,5,2022-07-01,200160319.79,18,0.022
224,5,2022-08-01,215585837.73,18,0.022
225,5,2022-09-01,238503074.11,18,0.022
226,5,2022-10-01,331342898.65,18,0.022
227,5,2022-11-01,279716906.38,18,0.022
228,5,2022-12-01,370200261.01,18,0.022
229,5,2023-01-01,291075515.42,18,0.022
230,5,2023-02-01,383795828.58,18,0.022
231,5,2023-03-01,341321502.82,18,0.022
232,5,2023-04-01,344439160.85,18,0.022
233,5,2023-05-01,462027331.66,18,0.022
234,5,2023-06-01,432565642.29,18,0.022
235,5,2023-07-01,409383886.16,18,0.022
236,5,2023-08-01,399533832.36,18,0.022
237,5,2023-09-01,565319550.34,19,0.021
238,5,2023-10-01,750088880.03,19,0.021
239,5,2023-11-01,515827504.76,19,0.021
240,5,2023-12-01,616066977.99,19,0.021
241,5,2024-01-01,575887624.02,19,0.021
242,5,2024-02-01,716008792.0,19,0.021
243,5,2024-03-01,542995756.11,19,0.021
244,5,2024-04-01,684827811.99,19,0.021
245,5,2024-05-01,734138691.56,19,0.021
246,5,2024-06-01,697428391.55,19,0.021
247,5,2024-07-01,835474388.78,19,0.021
248,5,2024-08-01,794678165.05,19,0.021
249,5,2024-09-01,911398494.95,19,0.021
250,5,2024-10-01,1024681912.35,20,0.02
251,5,2024-11-01,979806561.09,19,0.021
252,5,2024-12-01,952760436.99,19,0.021
253,5,2025-01-01,1096704738.37,20,0.02
254,5,2025-02-01,1089316206.71,20,0.02
255,5,2025-03-01,1198909727.73,20,0.02
256,5,2025-04-01,1230264118.8,20,0.02
257,5,2025-05-01,1143787496.88,20,0.02
258,5,2025-06-01,1200775546.87,20,0.02
259,5,2025-07-01,1292292934.5,20,0.02
260,5,2025-08-01,1638945574.77,20,0.02
261,5,2025-09-01,1536333577.51,20,0.02
262,5,2025-10-01,1463701682.53,20,0.02
263,5,2025-11-01,1575183201.04,20,0.02
264,5,2025-12-01,1435833840.83,20,0.02
265,5,2026-01-01,1569233477.2,20,0.02
266,5,2026-02-01,1184445448.63,20,0.02
267,5,2026-03-01,1369216707.47,20,0.02
268,5,2026-04-01,1510844145.18,20,0.02
269,5,2026-05-01,1435900228.77,20,0.02
270,5,2026-06-01,1402288520.72,20,0.02
271,6,2022-01-01,7121999.17,21,0.033
272,6,2022-02-01,19837157.99,21,0.033
273,6,2022-03-01,35909108.88,21,0.033
274,6,2022-04-01,43831496.63,21,0.033
275,6,2022-05-01,74356914.16,21,0.033
276,6,2022-06-01,78260003.04,21,0.033
277,6,2022-07-01,138119837.39,22,0.031
278,6,2022-08-01,148075523.83,22,0.031
279,6,2022-09-01,111352401.87,22,0.031
280,6,2022-10-01,167847816.38,22,0.031
281,6,2022-11-01,188665840.59,22,0.031
282,6,2022-12-01,125870276.26,22,0.031
283,6,2023-01-01,265613627.47,22,0.031
284,6,2023-02-01,246592900.51,22,0.031
285,6,2023-03-01,236723745.52,22,0.031
286,6,2023-04-01,296504536.02,22,0.031
287,6,2023-05-01,269291928.72,22,0.031
288,6,2023-06-01,269831278.51,22,0.031
289,6,2023-07-01,262954924.12,22,0.031
290,6,2023-08-01,332249210.75,22,0.031
291,6,2023-09-01,299108421.18,22,0.031
292,6,2023-10-01,384050490.57,22,0.031
293,6,2023-11-01,387164461.46,22,0.031
294,6,2023-12-01,403398915.02,22,0.031
295,6,2024-01-01,386151846.67,22,0.031
296,6,2024-02-01,441493659.27,22,0.031
297,6,2024-03-01,458318795.55,22,0.031
298,6,2024-04-01,430675551.95,22,0.031
299,6,2024-05-01,509896537.32,23,0.029
300,6,2024-06-01,610048039.93,23,0.029
301,6,2024-07-01,493362085.71,22,0.031
302,6,2024-08-01,653231775.76,23,0.029
303,6,2024-09-01,583878127.94,23,0.029
304,6,2024-10-01,629479889.66,23,0.029
305,6,2024-11-01,707952045.88,23,0.029
306,6,2024-12-01,676200393.2,23,0.029
307,6,2025-01-01,833207976.57,23,0.029
308,6,2025-02-01,804998006.54,23,0.029
309,6,2025-03-01,781690133.74,23,0.029
310,6,2025-04-01,721208391.98,23,0.029
311,6,2025-05-01,885935970.14,23,0.029
312,6,2025-06-01,936448526.17,23,0.029
313,6,2025-07-01,766567361.27,23,0.029
314,6,2025-08-01,974461050.97,23,0.029
315,6,2025-09-01,979963617.03,23,0.029
316,6,2025-10-01,1028299004.19,24,0.027
317,6,2025-11-01,864546187.56,23,0.029
318,6,2025-12-01,982788692.71,23,0.029
319,6,2026-01-01,1169352310.28,24,0.027
320,6,2026-02-01,878202970.45,23,0.029
321,6,2026-03-01,912918092.35,23,0.029
322,6,2026-04-01,885124961.82,23,0.029
323,6,2026-05-01,1013219985.98,24,0.027
324,6,2026-06-01,754833208.49,23,0.029
325,7,2022-01-01,2012165.05,25,0.039
326,7,2022-02-01,2292252.65,25,0.039
327,7,2022-03-01,8138770.46,25,0.039
328,7,2022-04-01,31778541.03,25,0.039
329,7,2022-05-01,33652079.16,25,0.039
330,7,2022-06-01,93457875.55,25,0.039
331,7,2022-07-01,40331798.43,25,0.039
332,7,2022-08-01,73061038.39,25,0.039
333,7,2022-09-01,76192898.04,25,0.039
334,7,2022-10-01,124047807.5,26,0.037
335,7,2022-11-01,118196738.69,26,0.037
336,7,2022-12-01,112876579.29,26,0.037
337,7,2023-01-01,146209661.01,26,0.037
338,7,2023-02-01,150447344.72,26,0.037
339,7,2023-03-01,230177324.65,26,0.037
340,7,2023-04-01,123731000.98,26,0.037
341,7,2023-05-01,146215442.73,26,0.037
342,7,2023-06-01,198808209.15,26,0.037
343,7,2023-07-01,153736547.48,26,0.037
344,7,2023-08-01,220020840.7,26,0.037
345,7,2023-09-01,177063290.46,26,0.037
346,7,2023-10-01,198518287.59,26,0.037
347,7,2023-11-01,206181505.54,26,0.037
348,7,2023-12-01,196052217.19,26,0.037
349,7,2024-01-01,225154937.33,26,0.037
350,7,2024-02-01,221297202.6,26,0.037
351,7,2024-03-01,359116446.06,26,0.037
352,7,2024-04-01,359376912.15,26,0.037
353,7,2024-05-01,299630572.68,26,0.037
354,7,2024-06-01,434202912.95,26,0.037
355,7,2024-07-01,223030206.4,26,0.037
356,7,2024-08-01,259434139.95,26,0.037
357,7,2024-09-01,456267724.03,26,0.037
358,7,2024-10-01,366229404.91,26,0.037
359,7,2024-11-01,382442259.42,26,0.037
360,7,2024-12-01,377035317.64,26,0.037
361,7,2025-01-01,440451453.37,26,0.037
362,7,2025-02-01,546492295.3,27,0.035
363,7,2025-03-01,553857900.68,27,0.035
364,7,2025-04-01,548504701.3,27,0.035
365,7,2025-05-01,599744341.86,27,0.035
366,7,2025-06-01,419021470.3,26,0.037
367,7,2025-07-01,547155585.74,27,0.035
368,7,2025-08-01,571132704.24,27,0.035
369,7,2025-09-01,869945004.25,27,0.035
370,7,2025-10-01,507944449.69,27,0.035
371,7,2025-11-01,464483576.15,26,0.037
372,7,2025-12-01,812216516.74,27,0.035
373,7,2026-01-01,525728948.77,27,0.035
374,7,2026-02-01,471261516.56,26,0.037
375,7,2026-03-01,587292954.75,27,0.035
376,7,2026-04-01,548835124.17,27,0.035
377,7,2026-05-01,461020110.55,26,0.037
378,7,2026-06-01,605817035.34,27,0.035
379,8,2022-01-01,5499651.98,29,0.009
380,8,2022-02-01,12115473.95,29,0.009
381,8,2022-03-01,56994628.26,29,0.009
382,8,2022-04-01,48936695.06,29,0.009
383,8,2022-05-01,39446028.16,29,0.009
384,8,2022-06-01,48019302.4,29,0.009
385,8,2022-07-01,65523880.86,29,0.009
386,8,2022-08-01,89503832.47,29,0.009
387,8,2022-09-01,57668161.86,29,0.009
388,8,2022-10-01,149340791.73,30,0.008
389,8,2022-11-01,110630601.27,30,0.008
390,8,2022-12-01,135816917.21,30,0.008
391,8,2023-01-01,169473894.85,30,0.008
392,8,2023-02-01,124843825.05,30,0.008
393,8,2023-03-01,186666659.95,30,0.008
394,8,2023-04-01,141751232.72,30,0.008
395,8,2023-05-01,222865913.88,30,0.008
396,8,2023-06-01,168714606.83,30,0.008
397,8,2023-07-01,213147109.07,30,0.008
398,8,2023-08-01,235211291.52,30,0.008
399,8,2023-09-01,253406996.08,30,0.008
400,8,2023-10-01,237014094.63,30,0.008
401,8,2023-11-01,230026539.69,30,0.008
402,8,2023-12-01,284258325.64,30,0.008
403,8,2024-01-01,262228800.36,30,0.008
404,8,2024-02-01,379458979.37,30,0.008
405,8,2024-03-01,268591366.54,30,0.008
406,8,2024-04-01,283786813.45,30,0.008
407,8,2024-05-01,242348864.84,30,0.008
408,8,2024-06-01,295686807.5,30,0.008
409,8,2024-07-01,380471993.49,30,0.008
410,8,2024-08-01,392736968.27,30,0.008
411,8,2024-09-01,360309453.91,30,0.008
412,8,2024-10-01,444837038.0,30,0.008
413,8,2024-11-01,357685054.05,30,0.008
414,8,2024-12-01,522930945.67,31,0.007
415,8,2025-01-01,368965255.64,30,0.008
416,8,2025-02-01,402565646.09,30,0.008
417,8,2025-03-01,527652752.95,31,0.007
418,8,2025-04-01,531742947.21,31,0.007
419,8,2025-05-01,496599942.48,30,0.008
420,8,2025-06-01,553947947.17,31,0.007
421,8,2025-07-01,539589008.24,31,0.007
422,8,2025-08-01,634345906.81,31,0.007
423,8,2025-09-01,545416653.92,31,0.007
424,8,2025-10-01,672340330.39,31,0.007
425,8,2025-11-01,518727175.39,31,0.007
426,8,2025-12-01,690904177.55,31,0.007
427,8,2026-01-01,531035343.01,31,0.007
428,8,2026-02-01,478139604.41,30,0.008
429,8,2026-03-01,744325326.43,31,0.007
430,8,2026-04-01,582043383.35,31,0.007
431,8,2026-05-01,599395333.61,31,0.007
432,8,2026-06-01,544783421.42,31,0.007
